PROJ_NUM,PO,SD_NUM,SD_NAME,FACILITY,CLEAN_FACILITY_NAME,FACILITY_KEY,MINCODE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,FACILITY_TYPE,DESCRIPTION,PROGRAM,PROJECT_CODE,STATUS,YEAR_COMPLETED,PROV_TOTAL,SD_ACTUAL,_3RD_PARTY_ACTUAL,TOTAL_ACTUAL
127658,DC,06,Rocky Mountain,Martin Morigeau Elementary,MARTIN MORIGEAU ELEMENTARY,MARTIN MORIGEAU,00604013,50.16106103,-115.8166756,Elementary,Universally Accessible Playground Equipment,PEP,REPLACE,6 Complete,2018/2019,105000,,,105000.0
126992,RC,06,Rocky Mountain,David Thompson Secondary,DAVID THOMPSON SECONDARY,DAVID THOMPSON,00604015,50.5022144,-116.0411422,Secondary,DDC Upgrade,SEP,MECHUP,6 Complete,2015/2016,115000,0,0,115000.0
126929,RC,06,Rocky Mountain,Golden Secondary,GOLDEN SECONDARY,GOLDEN,00618005,51.2965518,-116.9496193,Secondary,Health,SEP,HEALTH,6 Complete,2015/2016,220900,0,0,220900.0
127597-1,DC,06,Rocky Mountain,Selkirk Secondary School,SELKIRK SECONDARY SCHOOL,SELKIRK,00603008,49.68724493,-115.9798422,Secondary,Life cycle replacement of old Boilers.,SEP,MECHUP,6 Complete,2018/2019,352000,,,352000.0
127034,RC,06,Rocky Mountain,Golden Secondary,GOLDEN SECONDARY,GOLDEN,00618005,51.2965518,-116.9496193,Secondary,Protection of Bldg,SEP,ROOFREP,6 Complete,2015/2016,151705,0,0,151705.0
127390,DC,06,Rocky Mountain,Lady Grey Elementary,LADY GREY ELEMENTARY,LADY GREY,00618003,51.2956813,-116.9721455,Elementary,Roofing Lifecycle Replacement,SEP,ROOFREP,6 Complete,2017/2018,407200,0,0,407200.0
127133-01,RC,06,Rocky Mountain,Golden Secondary,GOLDEN SECONDARY,GOLDEN,00618005,51.2965518,-116.9496193,Secondary,"Roofing Lifecycle Replacement - AWARDED to ROOFING CONTRACTOR - Project in Progress - Phase one approval $840K, First Draw $151,705 in March 2016, Request is for balance of Funding",SEP,ROOFREP,6 Complete,2016/2017,724910,0,0,724910.0
126993,RC,06,Rocky Mountain,David Thompson Secondary,DAVID THOMPSON SECONDARY,DAVID THOMPSON,00604015,50.5022144,-116.0411422,Secondary,Sawdust Collection,SEP,HEALTH,6 Complete,2015/2016,134300,0,0,134300.0
127133-02,RC,06,Rocky Mountain,"Various - Edgewater Elementary, J Alfred Laird Elementary, Eileen Madson Primary, Windermere Elementary, Martin Morigeau Elementary, David Thompson Secondary ","VARIOUS - EDGEWATER ELEMENTARY, J ALFRED LAIRD ELEMENTARY, EILEEN MADSON PRIMARY, WINDERMERE ELEMENTARY, MARTIN MORIGEAU ELEMENTARY, DAVID THOMPSON SECONDARY ","VARIOUS - EDGEWATER , J ALFRED LAIRD , EILEEN MADSON PRIMARY, WINDERMERE , MARTIN MORIGEAU , DAVID THOMPSON", ,,,N/A,Upgrade exit signs and emergency lighting systems,SEP,HEALTH,6 Complete,2016/2017,240000,0,0,240000.0
127597-2,DC,06,Rocky Mountain,Windermere Elementary School,WINDERMERE ELEMENTARY SCHOOL,WINDERMERE,00604007,50.46570877,-115.9861031,Elementary,Upgrade failed building envelope. ,SEP,RENO,6 Complete,2018/2019,649994,,,649994.0
127718,DC,08,Kootenay Lake,W E Graham Elem-Sec ,W.E. GRAHAM ELEM-SEC ,W.E. GRAHAM ELEM-SEC,00807026,49.76347262,-117.470278,Elem-Sec,Standard Playground Equipment,PEP,REPLACE,6 Complete,2018/2019,90000,,,90000.0
127490-01,DC,08,Kootenay Lake,Various,VARIOUS,VARIOUS, ,,,N/A,Control Upgrade,SEP,MECHUP,6 Complete,2017/2018,270000,0,0,270000.0
127490-02,DC,08,Kootenay Lake,Prince Charles Secondary,PRINCE CHARLES SECONDARY,PRINCE CHARLES,00886007,49.09443987,-116.5051821,Secondary,Dust Collection System Replacement,SEP,MECHUP,6 Complete,2017/2018,400000,0,0,400000.0
127134-06,RC,08,Kootenay Lake,Central Education Centre,CENTRAL EDUCATION CENTRE,CENTRAL EDUCATION CENTRE, ,,,Other,Install elevator,SEP,HEALTH,6 Complete,2016/2017,410000,0,0,410000.0
126930,RC,08,Kootenay Lake,Lv Rogers Secondary,LV ROGERS SECONDARY,LV ROGERS,00807013,49.50153609,-117.2723473,Secondary,Mechup,SEP,MECHUP,6 Complete,2015/2016,314000,0,0,314000.0
126995,RC,08,Kootenay Lake,Hume Elementary,HUME ELEMENTARY,HUME,00807004,49.50037158,-117.2784926,Elementary,Mechup,SEP,MECHUP,6 Complete,2015/2016,142000,0,0,142000.0
126994-01,RC,08,Kootenay Lake,W.E. Graham Community School,W.E. GRAHAM COMMUNITY SCHOOL,W.E. GRAHAM COMMUNITY,00807026,49.76347262,-117.470278,Elem-Sec,Mechup,SEP,MECHUP,6 Complete,2015/2016,120000,0,0,120000.0
127699,DC,08,Kootenay Lake,Central Education Centre,CENTRAL EDUCATION CENTRE,CENTRAL EDUCATION CENTRE, ,,,Other,Phase 2:  Elevator Construction.,SEP,NEW,6 Complete,2018/2019,550000,,,550000.0
127134-05,RC,08,Kootenay Lake,Rosemont Elementary school,ROSEMONT ELEMENTARY SCHOOL,ROSEMONT,00807018,49.48069488,-117.3024037,Elementary,Retaining Wall Replacement,SEP,RENO,6 Complete,2016/2017,300000,0,0,300000.0
126827-01,RC,10,Arrow Lakes,Lucerne Elementary-Secondary,LUCERNE ELEMENTARY-SECONDARY,LUCERNE -,01010011,49.9926095,-117.3702659,Elem-Sec,Solar,CNCP,ENERGY,6 Complete,2015/2016,37100,37100,0,74200.0
126827-02,RC,10,Arrow Lakes,Nakusp Elementary School,NAKUSP ELEMENTARY SCHOOL,NAKUSP,01010004,50.2442064,-117.803489,Elementary,Solar,CNCP,ENERGY,6 Complete,2015/2016,12727,12727,0,25454.0
127752,DC,10,Arrow Lakes,Lucerne Elementary Secondary,LUCERNE ELEMENTARY SECONDARY,LUCERNE,01010011,49.9926095,-117.3702659,Elementary,Standard Playground Equipment,PEP,REPLACE,6 Complete,2018/2019,90000,,,90000.0
127348-01,DC,10,Arrow Lakes,Nakusp Elementary ,NAKUSP ELEMENTARY ,NAKUSP,01010004,50.2442064,-117.803489,Elementary,"73 Kw Photovoltaic System, Engineering Study, Roof U/G",SEP,MECHUP,6 Complete,2017/2018,220543,0,0,220543.0
126931,RC,10,Arrow Lakes,Less (Lucerne Elementary School),LESS (LUCERNE ELEMENTARY SCHOOL),LESS (LUCERNE ),01010011,49.9926095,-117.3702659,Elementary,Energy,SEP,ENERGY,6 Complete,2015/2016,339400,0,0,339400.0
126996,RC,10,Arrow Lakes,Shop And Nakusp Elementary,SHOP AND NAKUSP ELEMENTARY,SHOP AND NAKUSP, ,,,Elementary,Energy,SEP,ENERGY,6 Complete,2015/2016,245400,0,0,245400.0
127583-1,DC,10,Arrow Lakes,Nakusp Secondary School,NAKUSP SECONDARY SCHOOL,NAKUSP,01010006,50.24427173,-117.8050931,Secondary,Refinish exterior building envelop to bring walls to building code R-value.,SEP,RENO,6 Complete,2018/2019,174600,,,174600.0
127583-2,DC,10,Arrow Lakes,"Nakusp Secondary School, Lucerne Elementary Secondary School","NAKUSP SECONDARY SCHOOL, LUCERNE ELEMENTARY SECONDARY SCHOOL","NAKUSP , LUCERNE",01010006,50.24427173,-117.8050931,N/A,Replace current sawdust collection systems which are over 25 years old.  ,SEP,MECHUP,6 Complete,2018/2019,442220,,,442220.0
127348-02,DC,10,Arrow Lakes,Various,VARIOUS,VARIOUS, ,,,N/A,Replace emergency lighting and upgrade sprinklers,SEP,HEALTH,6 Complete,2017/2018,100952,0,0,100952.0
127135-03,RC,10,Arrow Lakes,"Various - Burton Academy School, Nakusp Elementary  ","VARIOUS - BURTON ACADEMY SCHOOL, NAKUSP ELEMENTARY  ","VARIOUS - BURTON ACADEMY , NAKUSP", ,,,N/A,Replace heat pumps ,SEP,MECHUP,6 Complete,2016/2017,286584,0,0,286584.0
127348-03,DC,10,Arrow Lakes,Nakusp Secondary ,NAKUSP SECONDARY ,NAKUSP,01010006,50.24427173,-117.8050931,Secondary,Replace roof ,SEP,ROOFREP,6 Complete,2017/2018,176205,0,0,176205.0
127135-02,RC,10,Arrow Lakes,Nakusp Elementary School,NAKUSP ELEMENTARY SCHOOL,NAKUSP,01010006,50.24427173,-117.8050931,Elementary,"Replace roof  - Tar and gravel roof has been in place for >30 years.  Patching has taken place for roof penetrations and leaks which occur on a regular basis. As identified by our engineering consultant, snow load capacity is below current building code requirements. Building envelope effficiency is impacted by the lack of adequate insulation in the roof.",SEP,ROOFREP,6 Complete,2016/2017,259284,0,0,259284.0
127647,DC,19,Revelstoke,Columbia Park Elementary School,COLUMBIA PARK ELEMENTARY SCHOOL,COLUMBIA PARK,01919013,51.0145631,-118.2185754,Elementary,Fa�ade Solar Panels,CNCP,ENERGY,6 Complete,2018/2019,60000,,,60000.0
126828,TT,19,Revelstoke,Columbia Park Elementary,COLUMBIA PARK ELEMENTARY,COLUMBIA PARK,01919013,51.0145631,-118.2185754,Elementary,Replace Rtu With Heat Pumps,CNCP,ENERGY,6 Complete,2015/2016,75000,291000,0,366000.0
127670,DC,19,Revelstoke,Columbia Park Elementary School,COLUMBIA PARK ELEMENTARY SCHOOL,COLUMBIA PARK,01919013,51.0145631,-118.2185754,Elementary,Universally Accessible Playground Equipment,PEP,REPLACE,6 Complete,2018/2019,105000,,,105000.0
127136-02,TT,19,Revelstoke,Arrow Heights Elementary,ARROW HEIGHTS ELEMENTARY,ARROW HEIGHTS,01919015,50.9769241,-118.1777034,Elementary,Complete PHASE 2 Mechanical upgrade of 38 year old school,SEP,MECHUP,6 Complete,2016/2017,600000,0,0,600000.0
127646,DC,19,Revelstoke,Columbia Park Elementary School,COLUMBIA PARK ELEMENTARY SCHOOL,COLUMBIA PARK,01919013,51.0145631,-118.2185754,Elementary,"Fix accessibility issues, upgrade electrical systems, and complete washroom renovations.",SEP,RENO,6 Complete,2018/2019,475000,,,475000.0
127494-03,DC,19,Revelstoke,Columbia Park Elementary,COLUMBIA PARK ELEMENTARY,COLUMBIA PARK,01919013,51.0145631,-118.2185754,Elementary,Interior Renovation ,SEP,HEALTH,6 Complete,2017/2018,250000,0,0,250000.0
126997,TT,19,Revelstoke,Arrow Heights Elementary School,ARROW HEIGHTS ELEMENTARY SCHOOL,ARROW HEIGHTS,01919015,50.9769241,-118.1777034,Elementary,Mechup,SEP,MECHUP,6 Complete,2015/2016,900000,0,0,900000.0
127494-01,DC,19,Revelstoke,Arrow Heights Elementary,ARROW HEIGHTS ELEMENTARY,ARROW HEIGHTS,01919015,50.9769241,-118.1777034,Elementary,Renovate 40 year old washrooms ,SEP,MECHUP,6 Complete,2017/2018,220000,0,0,220000.0
127136-03,TT,19,Revelstoke,Arrow Heights Elementary ,ARROW HEIGHTS ELEMENTARY ,ARROW HEIGHTS,01919015,50.9769241,-118.1777034,Elementary,Replace fascia board and soffits to address water leak issues,SEP,HEALTH,6 Complete,2016/2017,290000,0,0,290000.0
127494-02,DC,19,Revelstoke,Arrow Heights Elementary,ARROW HEIGHTS ELEMENTARY,ARROW HEIGHTS,01919015,50.9769241,-118.1777034,Elementary,Replace forty year old septic field with connection to City sewer line.,SEP,MECHUP,6 Complete,2017/2018,165000,0,0,165000.0
127689-1,DC,20,Kootenay-Columbia,Stanley Humphries Secondary,STANLEY HUMPHRIES SECONDARY,STANLEY HUMPHRIES,02009010,49.3200625,-117.661008,Secondary,Abatement of all accessible asbestos that requires immediate abatement.,SEP,HEALTH,6 Complete,2018/2019,290065,,,290065.0
127487-01,DC,20,Kootenay-Columbia,Stanley Humphries Secondary,STANLEY HUMPHRIES SECONDARY,STANLEY HUMPHRIES,02009010,49.3200625,-117.661008,Secondary,Boiler plant upgrade with 2 new high efficiency boilers and a DDC upgrade,SEP,MECHUP,6 Complete,2017/2018,534000,0,0,534000.0
126932,RC,20,Kootenay-Columbia,Klcl (Formerly Trail Middle School),KLCL (FORMERLY TRAIL MIDDLE SCHOOL),KLCL (FORMERLY TRAIL ),02020023,49.09747688,-117.694185,Middle,Mechup,SEP,MECHUP,6 Complete,2015/2016,405000,0,0,405000.0
127487-02,DC,20,Kootenay-Columbia,Kinnaird Elementary,KINNAIRD ELEMENTARY,KINNAIRD,02009006,49.28794865,-117.653505,Elementary,Replace Boiler  ,SEP,MECHUP,6 Complete,2017/2018,378807,0,0,378807.0
127137-02,RC,20,Kootenay-Columbia,Twin Rivers Elementary,TWIN RIVERS ELEMENTARY,TWIN RIVERS,02009011,49.32092092,-117.6592113,Elementary,Replace boilers and direct digital control system,SEP,MECHUP,6 Complete,2016/2017,515900,0,0,515900.0
127137-01,RC,20,Kootenay-Columbia,James L. Webster Elementary,JAMES L. WEBSTER ELEMENTARY,JAMES L. WEBSTER,02011009,49.09578985,-117.7443085,Elementary,Replacement of 2 low efficiency Rendmax boilers with high efficiency condensing boilers as well as an upgrade to the DDC.,SEP,MECHUP,6 Complete,2016/2017,469000,0,0,469000.0
127689-2,DC,20,Kootenay-Columbia,Stanley Humphries Secondary,STANLEY HUMPHRIES SECONDARY,STANLEY HUMPHRIES,02009010,49.3200625,-117.661008,Secondary,Replacement of vinyl sheet flooring in classrooms and hallways,SEP,RENO,6 Complete,2018/2019,257956,,,257956.0
127689-3,DC,20,Kootenay-Columbia,Webster Elementary,WEBSTER ELEMENTARY,WEBSTER, ,,,Elementary,Window upgrade-replacement of all single pane windows.,SEP,REPLACE,6 Complete,2018/2019,634432,,,634432.0
126829,TT,22,Vernon,Clarence Fulton Secondary,CLARENCE FULTON SECONDARY,CLARENCE FULTON,02222025,50.2493786,-119.3092733,Secondary,Boiler Replacement,CNCP,MECHUP,6 Complete,2015/2016,157000,0,30000,187000.0
127702,DC,22,Vernon,WL Seaton Secondary,WL SEATON SECONDARY,WL SEATON,02222007,50.2729109,-119.2679834,Secondary,Upgrade controls to HVAC System ,CNCP,ELECUP,6 Complete,2018/2019,288000,,,288000.0
127138-02,TT,22,Vernon,Kalamalka Secondary School,KALAMALKA SECONDARY SCHOOL,KALAMALKA,02222022,50.22296705,-119.2488864,Secondary,Upgrade older version control systems with newer version. Newer version DDC will assist technitions to identify problems and therefor improve speed of  correction. The CO2 sensor upgrade will help to minimize outside air rates.,CNCP,MECHUP,6 Complete,2016/2017,89450,89450,0,178900.0
127709,DC,22,Vernon,Mission Hill Elemenatry,MISSION HILL ELEMENATRY,MISSION HILL ELEMENATRY,02222019,50.25387726,-119.2826722,Elementary,Standard Playground Equipment,PEP,REPLACE,6 Complete,2018/2019,90000,,,90000.0
127138-03,TT,22,Vernon,Okanagan Landing Elementary,OKANAGAN LANDING ELEMENTARY,OKANAGAN LANDING,02222013,50.2369,-119.344,Elementary,Complete Mechancial System Replacement - Ground Source Heat Pump (GSHP),SEP,MECHUP,6 Complete,2016/2017,1440000,0,0,1440000.0
126933,TT,22,Vernon,Okanagan Landing Elementary,OKANAGAN LANDING ELEMENTARY,OKANAGAN LANDING,02222013,50.2369,-119.344,Elementary,Energy,SEP,ENERGY,6 Complete,2015/2016,600000,0,0,600000.0
127000,TT,22,Vernon,W. L. Seaton Secondary,W. L. SEATON SECONDARY,W. L. SEATON,02222007,50.2729109,-119.2679834,Secondary,Energy,SEP,ENERGY,6 Complete,2015/2016,264000,0,0,264000.0
127701,DC,22,Vernon,Ellison Elementary,ELLISON ELEMENTARY,ELLISON,02222026,50.25061832,-119.3145326,Elementary,Install GHX Field (PH 1) and HVAC System Upgrade (PH 2),SEP,ENERGY,6 Complete,2018/2019,870000,,,870000.0
126999,TT,22,Vernon,Beairsto Elementary,BEAIRSTO ELEMENTARY,BEAIRSTO,02222001,50.26665293,-119.2672552,Elementary,Mechup,SEP,MECHUP,6 Complete,2015/2016,192000,0,0,192000.0
127488,DC,22,Vernon,Fulton Secondary ,FULTON SECONDARY ,FULTON,02222025,50.2493786,-119.3092733,Secondary,"Replace 61,470 sq./ft. of roofing",SEP,ROOFREP,6 Complete,2017/2018,1036350,0,0,1036350.0
126998,TT,22,Vernon,W. L. Seaton Secondary,W. L. SEATON SECONDARY,W. L. SEATON,02222007,50.2729109,-119.2679834,Secondary,Roofrep,SEP,ROOFREP,6 Complete,2015/2016,1029500,0,0,1029500.0
127138-04,TT,22,Vernon,Various (13 Schoools),VARIOUS (13 SCHOOOLS),VARIOUS (13 SCHOOOLS), ,,,N/A,Upgrade plumbing lines and fixtures,SEP,HEALTH,6 Complete,2016/2017,117500,0,0,117500.0
126830,TT,23,Central Okanagan,Constable Neil Bruce Middle,CONSTABLE NEIL BRUCE MIDDLE,CONSTABLE NEIL BRUCE,02323075,49.85769939,-119.5966759,Middle,Boiler Replacement,CNCP,MECHUP,6 Complete,2015/2016,159960,0,9240,169200.0
127139-04,TT,23,Central Okanagan,Dr Knox Middle School,DR KNOX MIDDLE SCHOOL,DR KNOX,02323029,49.92288338,-119.4346516,Middle,Replace existing high temperature boiler with new condensing boilers. Provide a variable speed drive on the main circulator pumps to reduce the parasitic flow loads.,CNCP,MECHUP,6 Complete,2016/2017,229636,0,14364,244000.0
127759,DC,23,Central Okanagan,Peachland Elementary,PEACHLAND ELEMENTARY,PEACHLAND,02323042,49.78650472,-119.7176836,Elementary,Universally Accessible Playground Equipment,PEP,REPLACE,6 Complete,2018/2019,105000,,,105000.0
127758-1,DC,23,Central Okanagan,Central School Programs,CENTRAL SCHOOL PROGRAMS,CENTRAL PROGRAMS,02323005,49.88120693,-119.4878129,Elem-Sec,"Dust collector: Bundled project to include RSS, GMS, Central, Dease Rd Woodworking Shop",SEP,MECHUP,6 Complete,2018/2019,188000.0017,,,188000.0
127758-2,DC,23,Central Okanagan,Rutland Secondary,RUTLAND SECONDARY,RUTLAND,02323044,49.8969396,-119.3837848,Secondary,"Dust collector: Bundled project to include RSS, GMS, Central, Dease Rd Woodworking Shop",SEP,MECHUP,6 Complete,2018/2019,452799.9931,,,452800.0
127758-3,DC,23,Central Okanagan,Dease Rd Operations Department,DEASE RD OPERATIONS DEPARTMENT,DEASE RD OPERATIONS DEPARTMENT, ,,,N/A,"Dust collector: Bundled project to include RSS, GMS, Central, Dease Rd Woodworking Shop",SEP,MECHUP,6 Complete,2018/2019,356999.9965,,,357000.0
127758-4,DC,23,Central Okanagan,Glenrosa Middle ,GLENROSA MIDDLE ,GLENROSA,02323071,49.83405968,-119.6580084,Middle,"Dust collector: Bundled project to include RSS, GMS, Central, Dease Rd Woodworking Shop",SEP,MECHUP,6 Complete,2018/2019,302200.0079,,,302200.0
126936,TT,23,Central Okanagan,Glenmore Elementary,GLENMORE ELEMENTARY,GLENMORE,02323071,49.83405968,-119.6580084,Elementary,Energy,SEP,ENERGY,6 Complete,2015/2016,232000,0,0,232000.0
126935,TT,23,Central Okanagan,Springvalley Middle,SPRINGVALLEY MIDDLE,SPRINGVALLEY,02323047,49.885162,-119.4185961,Middle,Health,SEP,HEALTH,6 Complete,2015/2016,160800,0,0,160800.0
127359,DC,23,Central Okanagan,George Elliott Secondary,GEORGE ELLIOTT SECONDARY,GEORGE ELLIOTT,02323080,50.03038078,-119.400767,Secondary,Replace corroded HVAC piping,SEP,MECHUP,6 Complete,2017/2018,1538559,0,0,1538559.0
126934,TT,23,Central Okanagan,A S Matheson,A S MATHESON,A S MATHESON,02323031,49.8760059,-119.4779193,Elementary,Roofrep,SEP,ROOFREP,6 Complete,2015/2016,683000,0,0,683000.0
127139-06,TT,23,Central Okanagan,GEORGE ELLIOT SECONDARY,GEORGE ELLIOT SECONDARY,GEORGE ELLIOT,02323080,50.03038078,-119.400767,Secondary,Sawdust collection system upgrade to meet current code.,SEP,MECHUP,6 Complete,2016/2017,298069,2500,0,300569.0
127139-05,TT,23,Central Okanagan,Dr. Knox Middle school,DR. KNOX MIDDLE SCHOOL,DR. KNOX,02323029,49.92288338,-119.4346516,Middle,Sawdust collection system upgrade to meet current code.,SEP,MECHUP,6 Complete,2016/2017,176276,2500,0,178776.0
127139-08,TT,23,Central Okanagan,Kelowna senior Secondary,KELOWNA SENIOR SECONDARY,KELOWNA SENIOR,02323076,49.8640577,-119.4783557,Secondary,Sawdust collection system upgrade to meet current code.,SEP,MECHUP,6 Complete,2016/2017,176276,2500,0,178776.0
127139-09,TT,23,Central Okanagan,K L O Middle,K L O MIDDLE,K L O,02323038,49.8601915,-119.4766737,Middle,Sawdust collection system upgrade to meet current code.,SEP,MECHUP,6 Complete,2016/2017,149225,2500,0,151725.0
127139-07,TT,23,Central Okanagan,Constable Neil Bruce middle school,CONSTABLE NEIL BRUCE MIDDLE SCHOOL,CONSTABLE NEIL BRUCE,02323075,49.85769939,-119.5966759,Middle,Sawdust collection system upgrade to meet current code.,SEP,MECHUP,6 Complete,2016/2017,129159,2500,0,131659.0
127139-10,TT,23,Central Okanagan,KLO Middle ,KLO MIDDLE ,KLO,02323038,49.8601915,-119.4766737,Middle,Upgrade washrooms ,SEP,HEALTH,6 Complete,2016/2017,436000,0,0,436000.0
126831,TT,27,Cariboo-Chilcotin,Cataline Elementary,CATALINE ELEMENTARY,CATALINE,02727057,52.15094428,-122.1509537,Elementary,"Boiler, Mechup, Lighting",CNCP,MECHUP,6 Complete,2015/2016,416142,1341760,0,1757902.0
127691,DC,27,Cariboo-Chilcotin,Alexis Creek Elementary/Jr. Secondary,ALEXIS CREEK ELEMENTARY/JR. SECONDARY,ALEXIS CREEK /JR.,02727071,52.08564345,-123.2756176,N/A,Standard Playground Equipment,PEP,REPLACE,6 Complete,2018/2019,90000,,,90000.0
127460-03,DC,27,Cariboo-Chilcotin,Lake City Secondary - Columneetza Campus,LAKE CITY SECONDARY - COLUMNEETZA CAMPUS,LAKE CITY - COLUMNEETZA CAMPUS,02727072,52.13645719,-122.1407661,Secondary,Additional SEP: Re-Pipe Domestic Water System due to high Lead Content,SEP,HEALTH,6 Complete,2017/2018,352550,0,0,352550.0
127460-04,DC,27,Cariboo-Chilcotin,Naghtaneqed Elementary/Jr. Secondary,NAGHTANEQED ELEMENTARY/JR. SECONDARY,NAGHTANEQED /JR.,02727059,51.46443205,-123.9484887,Elem-Middle,Additional SEP: Re-Pipe Domestic Water System due to high Lead Content,SEP,HEALTH,6 Complete,2017/2018,86000,0,0,86000.0
127460-05,DC,27,Cariboo-Chilcotin,Mountview Elementary,MOUNTVIEW ELEMENTARY,MOUNTVIEW,02727045,52.0998637,-122.1234469,Elementary,Additional SEP: Re-Pipe Domestic Water System due to high Lead Content,SEP,HEALTH,6 Complete,2017/2018,60000,0,0,60000.0
127140-03,TT,27,Cariboo-Chilcotin,Cataline Elementary school,CATALINE ELEMENTARY SCHOOL,CATALINE,02727057,52.15094428,-122.1509537,Elementary,Fire Protection Upgrade,SEP,MECHUP,6 Complete,2016/2017,175000,0,0,175000.0
127687,DC,27,Cariboo-Chilcotin,Horse Lake Elementary,HORSE LAKE ELEMENTARY,HORSE LAKE,02727008,52.33435334,-121.4157591,Elementary,Full Mechanical System Upgrade.,SEP,MECHUP,6 Complete,2018/2019,500000,,,500000.0
127140-02,TT,27,Cariboo-Chilcotin,Likely Elementary Junior Secondary School Dog Creek Elementary junior secondary school,LIKELY ELEMENTARY JUNIOR SECONDARY SCHOOL DOG CREEK ELEMENTARY JUNIOR SECONDARY SCHOOL,LIKELY DOG CREEK,02727014,52.61631944,-121.5580004,Elem-Sec,Install HVAC DDC system and optimize sequence of operations,SEP,MECHUP,6 Complete,2016/2017,146073,0,0,146073.0
127460-01,DC,27,Cariboo-Chilcotin,Various ,VARIOUS ,VARIOUS, ,,,N/A,replace existing hi bay lighting with new LED lighting Occupancy controls,SEP,ENERGY,6 Complete,2017/2018,112218,0,0,112218.0
127140-04,TT,27,Cariboo-Chilcotin,Peter Skene Ogden Secondary,PETER SKENE OGDEN SECONDARY,PETER SKENE OGDEN,02727056,51.637295,-121.3017027,Secondary,Upgrade dust collection system,SEP,HEALTH,6 Complete,2016/2017,100000,0,0,100000.0
